Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Running Time,License
The Lion King,1994,Walt Disney Studios Motion Pictures,45000000,1586753,422783777,545728028,968511805,1 hr 28 min,G
The Jungle Book,2016,Walt Disney Studios Motion Pictures,175000000,103261464,364001123,603723652,967724775,1 hr 46 min,PG
The Hobbit: The Battle of the Five Armies,2014,Warner Bros.,December 10 2014 (EMEA),54724334,255138261,707063077,962201338,1 hr 46 min,PG
Pirates of the Caribbean: At World's End,2007,Walt Disney Studios Motion Pictures,300000000,114732820,309420425,652270784,961691209,2 hr 49 min,PG-13
The Hobbit: The Desolation of Smaug,2013,Warner Bros.,December 11 2013 (EMEA APAC),73645197,258387334,700640658,959027992,2 hr 49 min,PG-13
Doctor Strange in the Multiverse of Madness,2022,Walt Disney Studios Motion Pictures,May 4 2022 (EMEA APAC),187420998,411331607,544444197,955775804,2 hr 49 min,PG-13
The Lord of the Rings: The Two Towers,2002,New Line Cinema,94000000,62007528,342952511,604991759,947944270,2 hr 59 min,PG-13
Harry Potter and the Order of the Phoenix,2007,Warner Bros.,150000000,77108414,292382727,649895317,942278045,2 hr 18 min,PG-13
Finding Nemo,2003,Walt Disney Studios Motion Pictures,94000000,70251710,380843261,560794699,941637960,1 hr 40 min,G
Minions: The Rise of Gru,2022,Universal Pictures,June 23 2022 (Australia),107010140,369695210,569933000,939628210,1 hr 40 min,G
Harry Potter and the Half-Blood Prince,2009,Warner Bros.,250000000,77835727,302334374,632185012,934519387,2 hr 33 min,PG
Shrek 2,2004,DreamWorks Distribution,150000000,108037878,441226247,487534523,928760770,1 hr 33 min,PG
Oppenheimer,2023,Universal Pictures,July 19 2023 (EMEA APAC),82455420,321212945,604752000,925964945,1 hr 33 min,PG
Harry Potter and the Chamber of Secrets,2002,Warner Bros.,100000000,88357488,262641637,663316557,925958195,2 hr 41 min,PG
Bohemian Rhapsody,2018,Twentieth Century Fox,52000000,51061119,216668042,694141269,910809311,2 hr 14 min,PG-13
The Battle at Lake Changjin,2021,CMC Pictures,October 1 2021 (China),105768,342411,902206065,902548476,2 hr 14 min,PG-13
The Lord of the Rings: The Fellowship of the Ring,2001,New Line Cinema,93000000,47211490,316115420,582089000,898204420,2 hr 58 min,PG-13
Harry Potter and the Goblet of Fire,2005,Warner Bros.,150000000,102685961,290469928,606345381,896815310,2 hr 37 min,PG-13
Spider-Man 3,2007,Sony Pictures Entertainment (SPE),258000000,151116516,336530303,558453070,894983373,2 hr 19 min,PG-13
The Secret Life of Pets,2016,Universal Pictures,75000000,104352905,368384330,525944139,894328469,1 hr 27 min,PG
Ice Age: Dawn of the Dinosaurs,2009,Twentieth Century Fox,90000000,41690382,196573705,690113112,886686817,1 hr 34 min,PG
Spectre,2015,Sony Pictures Entertainment (SPE),245000000,70403148,200074609,680630703,880705312,2 hr 28 min,PG-13
Spider-Man: Homecoming,2017,Sony Pictures Entertainment (SPE),175000000,117027503,334201140,545965784,880166924,2 hr 13 min,PG-13
Ice Age: Continental Drift,2012,Twentieth Century Fox,95000000,46629259,161321843,715922939,877244782,1 hr 28 min,PG
Batman v Superman: Dawn of Justice,2016,Warner Bros.,250000000,166007347,330360194,543277334,873637528,2 hr 31 min,PG-13
Wolf Warrior 2,2017,The H Collective,30100000,219022,2721100,867604339,870325439,2 hr 3 min,PG-13
Star Wars: Episode III - Revenge of the Sith,2005,Twentieth Century Fox,113000000,108435841,380270577,488119983,868390560,2 hr 20 min,PG-13
The Hunger Games: Catching Fire,2013,Lionsgate,130000000,158074286,424668047,440343699,865011746,2 hr 26 min,PG-13
Guardians of the Galaxy Vol. 2,2017,Walt Disney Studios Motion Pictures,200000000,146510104,389813101,473942950,863756051,2 hr 16 min,PG-13
Black Panther: Wakanda Forever,2022,Walt Disney Studios Motion Pictures,November 4 2022 (Iceland),181339761,453829060,405379776,859208836,2 hr 16 min,PG-13
Inside Out,2015,Walt Disney Studios Motion Pictures,175000000,90440272,356921711,501926308,858848019,1 hr 35 min,PG
Venom,2018,Sony Pictures Entertainment (SPE),100000000,80255756,213515506,642569645,856085151,1 hr 52 min,PG-13
Thor: Ragnarok,2017,Walt Disney Studios Motion Pictures,180000000,122744989,315058289,540243517,855301806,2 hr 10 min,PG-13
The Twilight Saga: Breaking Dawn - Part 2,2012,Lionsgate,120000000,141067634,292324737,556269211,848593948,1 hr 55 min,PG-13
Guardians of the Galaxy Vol. 3,2023,Walt Disney Studios Motion Pictures,April 13 2023 (Italy),118414021,358995815,486559962,845555777,1 hr 55 min,PG-13
Inception,2010,Warner Bros.,160000000,62785337,292587330,546443300,839030630,2 hr 28 min,PG-13
Transformers: Revenge of the Fallen,2009,DreamWorks,200000000,108966307,402111870,434191823,836303693,2 hr 29 min,PG-13
Spider-Man,2002,Sony Pictures Entertainment (SPE),139000000,114844116,407022860,418002176,825025036,2 hr 1 min,PG-13
Wonder Woman,2017,Warner Bros.,149000000,103251471,412845172,410009114,822854286,2 hr 21 min,PG-13
"Hi, Mom",2021,"February 12, 2021 (China)",149000000,2 hr 8 min,822009764,822009764,822854286,2 hr 21 min,PG-13
Independence Day,1996,Twentieth Century Fox,75000000,50228264,306169268,511231623,817400891,2 hr 25 min,PG-13
Coco,2017,Walt Disney Studios Motion Pictures,October 27 2017 (Mexico),50802605,210460015,603877039,814337054,2 hr 25 min,PG-13
Fantastic Beasts and Where to Find Them,2016,Warner Bros.,180000000,74403387,234037575,580006426,814044001,2 hr 12 min,PG-13
Shrek the Third,2007,DreamWorks,160000000,121629270,322719944,490647436,813367380,1 hr 33 min,PG
Jumanji: The Next Level,2019,Sony Pictures Entertainment (SPE),125000000,59251543,320314960,481378969,801693929,2 hr 3 min,PG-13
Harry Potter and the Prisoner of Azkaban,2004,Warner Bros.,130000000,93687367,250105651,547752679,797858331,2 hr 22 min,PG
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Walt Disney Studios Motion Pictures,230000000,62983253,172558876,623363422,795922298,2 hr 9 min,PG-13
E.T. the Extra-Terrestrial,1982,Universal Pictures,10500000,11835389,437141279,304203888,792910554,1 hr 55 min,PG
Mission: Impossible - Fallout,2018,Paramount Pictures,178000000,61236534,220159104,571498294,791657398,2 hr 27 min,PG-13
2012,2009,Sony Pictures Entertainment (SPE),200000000,65237614,166112167,625105659,791217826,2 hr 38 min,PG-13
Indiana Jones and the Kingdom of the Crystal Skull,2008,Paramount Pictures,185000000,100137835,317101119,473552823,790653942,2 hr 2 min,PG-13
Spider-Man 2,2004,Sony Pictures Entertainment (SPE),200000000,88156227,373585825,415390628,788976453,2 hr 7 min,PG-13
Fast & Furious 6,2013,Universal Pictures,160000000,97375245,238679850,550001118,788680968,2 hr 10 min,PG-13
Deadpool 2,2018,Twentieth Century Fox,110000000,125507153,324591735,461304874,785896609,1 hr 59 min,R
Deadpool,2016,Twentieth Century Fox,58000000,132434639,363070709,419766082,782836791,1 hr 48 min,R
Star Wars: Episode IV - A New Hope,1977,Twentieth Century Fox,11000000,1554475,460998507,195751992,775398007,2 hr 1 min,PG
No Time to Die,2021,Metro-Goldwyn-Mayer (MGM),September 29 2021 (South Korea),55225007,160891007,613262000,774153007,2 hr 1 min,PG
Guardians of the Galaxy,2014,Walt Disney Studios Motion Pictures,170000000,94320883,333718600,439631547,773350147,2 hr 1 min,PG-13
The Batman,2022,Warner Bros.,March 1 2022 (South Korea),134008624,369345583,401617000,770962583,2 hr 1 min,PG-13
Thor: Love and Thunder,2022,Walt Disney Studios Motion Pictures,July 6 2022 (APAC EMEA),144165107,343256830,417671251,760928081,2 hr 1 min,PG-13
Fast & Furious Presents: Hobbs & Shaw,2019,Universal Pictures,200000000,60038950,173956935,586775991,760732926,2 hr 17 min,PG-13
The Da Vinci Code,2006,Sony Pictures Entertainment (SPE),125000000,77073388,217536138,542470807,760006945,2 hr 29 min,PG-13
Maleficent,2014,Walt Disney Studios Motion Pictures,180000000,69431298,241410378,518443307,759853685,1 hr 37 min,PG
The Amazing Spider-Man,2012,Sony Pictures Entertainment (SPE),230000000,62004688,262030663,495900000,757930663,2 hr 16 min,PG-13
The Hunger Games: Mockingjay - Part 1,2014,Lionsgate,125000000,121897634,337135885,418220826,755356711,2 hr 3 min,PG-13
Shrek Forever After,2010,DreamWorks,165000000,70838207,238736787,513864080,752600867,1 hr 35 min,PG
Gravity,2013,Warner Bros.,100000000,55785112,274092705,473957244,748049949,1 hr 31 min,PG-13
Madagascar 3: Europe's Most Wanted,2012,DreamWorks,145000000,60316738,216391482,530529792,746921274,1 hr 35 min,PG
Suicide Squad,2016,Warner Bros.,175000000,133682248,325100054,421746840,746846894,2 hr 3 min,PG-13
X-Men: Days of Future Past,2014,Twentieth Century Fox,200000000,90823660,233921534,512124166,746045700,2 hr 12 min,PG-13
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Walt Disney Studios Motion Pictures,180000000,65556312,291710957,453302158,745013115,2 hr 23 min,PG
Monsters University,2013,Walt Disney Studios Motion Pictures,June 19 2013 (Egypt),82429469,268492764,475066881,743559645,2 hr 23 min,PG
The Matrix Reloaded,2003,Warner Bros.,150000000,91774413,281576461,460271476,741847937,2 hr 18 min,R
Up,2009,Walt Disney Studios Motion Pictures,175000000,68108790,293004164,442094938,735099102,1 hr 36 min,PG
Ne Zha,2019,Well Go USA Entertainment,July 26 2019 (China),1015755,3695533,722568541,726264074,1 hr 36 min,PG
F9: The Fast Saga,2021,Universal Pictures,May 19 2021 (APAC EMEA),70043165,173005945,553223556,726229501,1 hr 36 min,PG
Captain America: The Winter Soldier,2014,Walt Disney Studios Motion Pictures,170000000,95023721,259766572,454654931,714421503,2 hr 16 min,PG-13
The Twilight Saga: Breaking Dawn - Part 1,2011,Summit Entertainment,110000000,138122261,281287133,430918723,712205856,1 hr 57 min,PG-13
The Twilight Saga: New Moon,2009,Summit Entertainment,50000000,142839137,297816253,413209228,711025481,2 hr 10 min,PG-13
Dawn of the Planet of the Apes,2014,Twentieth Century Fox,170000000,72611427,208545589,502098977,710644566,2 hr 10 min,PG-13
Transformers,2007,DreamWorks,150000000,70502384,319246193,390463587,709709780,2 hr 24 min,PG-13
The Amazing Spider-Man 2,2014,Sony Pictures Entertainment (SPE),April 16 2014 (Belgium),91608337,202853933,506128390,708982323,2 hr 24 min,PG-13
Fast X,2023,Universal Pictures,April 27 2023 (Italy),67017410,145960660,558749000,704709660,2 hr 24 min,PG-13
Interstellar,2014,Paramount Pictures,165000000,47510360,188020017,515150820,703170837,2 hr 49 min,PG-13
It,2017,Warner Bros.,35000000,123403419,328874981,372967570,701842551,2 hr 15 min,R
The Wandering Earth,2019,CMC Pictures,January 31 2019 (Australia),1685287,5971413,694021099,699992512,2 hr 15 min,R
The Twilight Saga: Eclipse,2010,Summit Entertainment,68000000,64832191,300531751,397978074,698509825,2 hr 4 min,PG-13
Mission: Impossible - Ghost Protocol,2011,Paramount Pictures,145000000,12785204,209397903,485315477,694713380,2 hr 12 min,PG-13
Mamma Mia!,2008,Universal Pictures,52000000,27751240,144169664,550308728,694478392,1 hr 48 min,PG-13
The Hunger Games,2012,Lionsgate,78000000,152535747,408010692,286384032,694394724,2 hr 22 min,PG-13
Spider-Man: Across the Spider-Verse,2023,Columbia Pictures,May 31 2023 (France),120663589,381311319,308499543,689810862,2 hr 22 min,PG-13
Moana,2016,Walt Disney Studios Motion Pictures,November 23 2016 (Domestic),56631401,248757044,438471864,687228908,2 hr 22 min,PG-13
Detective Chinatown 3,2021,Warner Bros.,November 23 2016 (Domestic),February 12 2021 (China),686257563,686257563,687228908,2 hr 22 min,PG-13
Mission: Impossible - Rogue Nation,2015,Paramount Pictures,150000000,55520089,195042377,487674259,682716636,2 hr 11 min,PG-13
Forrest Gump,1994,Paramount Pictures,55000000,24450602,330455270,347771195,678226465,2 hr 22 min,PG-13
Doctor Strange,2016,Walt Disney Studios Motion Pictures,165000000,85058311,232641920,445154156,677796076,1 hr 55 min,PG-13
The Sixth Sense,1999,Walt Disney Studios Motion Pictures,40000000,26681262,293506292,379300140,672806432,1 hr 47 min,PG-13
Man of Steel,2013,Warner Bros.,225000000,116619362,291045518,377000000,668045518,2 hr 23 min,PG-13
Ice Age: The Meltdown,2006,Twentieth Century Fox,80000000,68033544,195330621,471763885,667094506,1 hr 31 min,PG
Kung Fu Panda 2,2011,DreamWorks,150000000,47656302,165249063,500443218,665692281,1 hr 30 min,PG
Justice League,2017,Warner Bros.,October 17 2017 (Lithuania),93842239,229024295,428902692,657926987,1 hr 30 min,PG
Big Hero 6,2014,Walt Disney Studios Motion Pictures,165000000,56215889,222527828,435341858,657869686,1 hr 42 min,PG
Fantastic Beasts: The Crimes of Grindelwald,2018,Warner Bros.,200000000,62163104,159555901,495300000,654855901,2 hr 14 min,PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Walt Disney Studios Motion Pictures,140000000,46630690,305413918,348850097,654264015,2 hr 23 min,PG-13
Men in Black 3,2012,Sony Pictures Entertainment (SPE),225000000,54592779,179020854,475192631,654213485,1 hr 46 min,PG-13
Star Wars: Episode II - Attack of the Clones,2002,Twentieth Century Fox,115000000,80027814,310676740,343103230,653779970,2 hr 22 min,PG
The Hunger Games: Mockingjay - Part 2,2015,Lionsgate,160000000,102665981,281723902,371704359,653428261,2 hr 17 min,PG-13
Thor: The Dark World,2013,Walt Disney Studios Motion Pictures,170000000,85737841,206362140,438421000,644783140,1 hr 52 min,PG-13
Sing,2016,Universal Pictures,75000000,35258145,270578425,363759959,634338384,1 hr 48 min,PG
Kung Fu Panda,2008,DreamWorks,130000000,60239130,215771591,416311606,632083197,1 hr 32 min,PG
The Incredibles,2004,Walt Disney Studios Motion Pictures,92000000,70467623,261441092,370165961,631607053,1 hr 55 min,PG
The Martian,2015,Twentieth Century Fox,108000000,54308575,228433663,402187155,630620818,2 hr 24 min,PG-13
Hancock,2008,Sony Pictures Entertainment (SPE),150000000,62603879,227946274,401497154,629443428,1 hr 32 min,PG-13
Water Gate Bridge,2022,CMC Pictures,February 1 2022 (China),42707,117294,626454403,626571697,1 hr 32 min,PG-13
Fast Five,2011,Universal Pictures,125000000,86198765,209837675,416300000,626137675,2 hr 10 min,PG-13
Iron Man 2,2010,Paramount Pictures,200000000,128122480,312433331,311500000,623933331,2 hr 4 min,PG-13
Ratatouille,2007,Walt Disney Studios Motion Pictures,150000000,47027395,206445654,417280431,623726085,1 hr 51 min,G
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,July 4 2018 (EMEA APAC),75812205,216648740,406025399,622674139,1 hr 51 min,G
How to Train Your Dragon 2,2014,Twentieth Century Fox,145000000,49451322,177002924,444534595,621537519,1 hr 42 min,PG
Logan,2017,Twentieth Century Fox,97000000,88411916,226277068,392902882,619179950,2 hr 17 min,R
The Lost World: Jurassic Park,1997,Universal Pictures,73000000,72132785,229086679,389552320,618638999,2 hr 9 min,PG-13
Casino Royale,2006,Sony Pictures Entertainment (SPE),150000000,40833156,167445960,449059202,616505162,2 hr 24 min,PG-13
The Passion of the Christ,2004,Newmarket Films,30000000,83848082,370782930,241271576,612054506,2 hr 7 min,R
Life of Pi,2012,Twentieth Century Fox,120000000,22451514,124987023,484029542,609016565,2 hr 7 min,PG
Ready Player One,2018,Warner Bros.,175000000,41764050,137715350,469558784,607274134,2 hr 20 min,PG-13
Transformers: The Last Knight,2017,Paramount Pictures,217000000,44680073,130168683,475256474,605425157,2 hr 34 min,PG-13
Madagascar: Escape 2 Africa,2008,DreamWorks,150000000,63106589,180010950,423889404,603900354,1 hr 29 min,PG
War of the Worlds,2005,Paramount Pictures,132000000,64878725,234280354,369592765,603873119,1 hr 56 min,PG-13
Tangled,2010,Walt Disney Studios Motion Pictures,260000000,48767052,200821936,391640880,592462816,1 hr 40 min,PG
Quantum of Solace,2008,Sony Pictures Entertainment (SPE),200000000,67528882,168368427,421212055,589580482,1 hr 46 min,PG-13
Men in Black,1997,Sony Pictures Entertainment (SPE),90000000,51068455,250690539,338700000,589390539,1 hr 38 min,PG-13
The Croods,2013,Twentieth Century Fox,135000000,43639736,187168425,400067558,587235983,1 hr 38 min,PG
The Hangover Part II,2011,Warner Bros.,80000000,85946294,254464305,332300000,586764305,1 hr 42 min,R
Iron Man,2008,Paramount Pictures,140000000,98618668,319034126,266762121,585796247,2 hr 6 min,PG-13
I Am Legend,2007,Warner Bros.,150000000,77211321,256393010,329017042,585410052,1 hr 41 min,PG-13
"Monsters, Inc.",2001,Walt Disney Studios Motion Pictures,115000000,62577067,290642256,289065482,579707738,1 hr 32 min,G
Operation Red Sea,2018,Well Go USA Entertainment,February 16 2018 (China),436059,1543547,577786879,579330426,1 hr 32 min,G
Night at the Museum,2006,Twentieth Century Fox,December 21 2006 (APAC),30433781,250863268,323617961,574481229,1 hr 32 min,G
Fifty Shades of Grey,2015,Universal Pictures,40000000,85171450,166167230,403484237,569651467,2 hr 5 min,R
The Little Mermaid,2023,Walt Disney Studios Motion Pictures,May 4 2023 (Italy),95578040,298172056,271420242,569592298,2 hr 5 min,R
Mission: Impossible - Dead Reckoning Part One,2023,Paramount Pictures,291000000,54688347,172135383,395400000,567535383,2 hr 43 min,PG-13
Kong: Skull Island,2017,Warner Bros.,185000000,61025472,168052812,398600000,566652812,1 hr 58 min,PG-13
The Smurfs,2011,Sony Pictures Entertainment (SPE),110000000,35611637,142614158,421135165,563749323,1 hr 43 min,PG
Cars 2,2011,Walt Disney Studios Motion Pictures,200000000,66135507,191452396,368400000,559852396,1 hr 46 min,G
King Kong,2005,Universal Pictures,207000000,50130145,218080025,338826353,556906378,3 hr 7 min,PG-13
Puss in Boots,2011,DreamWorks,130000000,34077439,149260504,405726973,554987477,1 hr 30 min,PG
The Mermaid,2016,Sony Pictures Entertainment (SPE),February 8 2016 (China APAC),985052,3232685,550577543,553810228,1 hr 30 min,PG
Armageddon,1998,Walt Disney Studios Motion Pictures,140000000,36089972,201578182,352131606,553709788,2 hr 31 min,PG-13
The Day After Tomorrow,2004,Twentieth Century Fox,125000000,68743584,186740799,365898772,552639571,2 hr 4 min,PG-13
Ted,2012,Universal Pictures,50000000,54415205,218815487,330552828,549368315,1 hr 46 min,R
American Sniper,2014,Warner Bros.,58800000,633456,350159020,197300000,547459020,2 hr 13 min,R
Mission: Impossible II,2000,Paramount Pictures,125000000,57845297,215409889,330978219,546388108,2 hr 3 min,PG-13
Detective Chinatown 2,2018,Warner Bros.,February 15 2018 (APAC),704047,1983984,542201172,544185156,2 hr 3 min,PG-13
X-Men: Apocalypse,2016,Twentieth Century Fox,178000000,65769562,155442489,388491616,543934105,2 hr 24 min,PG-13
Sherlock Holmes: A Game of Shadows,2011,Warner Bros.,December 15 2011 (EMEA APAC),39637079,186848418,357000000,543848418,2 hr 24 min,PG-13
Despicable Me,2010,Universal Pictures,69000000,56397125,251557985,291600000,543157985,1 hr 35 min,PG
Cinderella,2015,Walt Disney Studios Motion Pictures,95000000,67877361,201151353,341206978,542358331,1 hr 45 min,PG
Madagascar,2005,DreamWorks Distribution,May 27 2005 (APAC Domestic),47224594,193595521,348468325,542063846,1 hr 45 min,PG
World War Z,2013,Paramount Pictures,190000000,66411834,202807711,337648165,540455876,1 hr 56 min,PG-13
Brave,2012,Walt Disney Studios Motion Pictures,185000000,66323594,237283207,301700000,538983207,1 hr 33 min,PG
Star Wars: Episode V - The Empire Strikes Back,1980,Twentieth Century Fox,18000000,4910483,292753960,190685234,538375067,2 hr 4 min,PG
The Simpsons Movie,2007,Twentieth Century Fox,75000000,74036787,183135014,353279279,536414293,1 hr 27 min,PG-13
The Revenant,2015,Twentieth Century Fox,135000000,474560,183637894,349312609,532950503,2 hr 36 min,R
The Meg,2018,Warner Bros.,130000000,45402195,145522784,383815731,529338515,1 hr 53 min,PG-13
Ralph Breaks the Internet,2018,Walt Disney Studios Motion Pictures,175000000,56237634,201091711,328232251,529323962,1 hr 52 min,PG
Hotel Transylvania 3: Summer Vacation,2018,Sony Pictures Entertainment (SPE),80000000,44076225,167510016,361073758,528583774,1 hr 37 min,PG
The Boss Baby,2017,Twentieth Century Fox,March 23 2017 (5 markets),50198902,175003033,352962903,527965936,1 hr 37 min,PG
Dunkirk,2017,Warner Bros.,100000000,50513488,189740665,337275642,527016307,1 hr 46 min,PG-13
The Grinch,2018,Universal Pictures,75000000,67572855,271384731,255375901,526760632,1 hr 25 min,PG
Godzilla,2014,Warner Bros.,160000000,93188384,200676069,324300000,524976069,2 hr 3 min,PG-13
How to Train Your Dragon: The Hidden World,2019,Universal Pictures,129000000,55022245,160945505,363635087,524580592,1 hr 44 min,PG
Sherlock Holmes,2009,Warner Bros.,90000000,62304277,209028679,315000000,524028679,2 hr 8 min,PG-13
Meet the Fockers,2004,Universal Pictures,80000000,46120980,279261160,243396776,522657936,1 hr 55 min,PG-13
WALL·E,2008,Walt Disney Studios Motion Pictures,180000000,63087526,223808164,297503726,521311890,1 hr 38 min,NA
Kung Fu Panda 3,2016,Twentieth Century Fox,145000000,41282042,143528619,377642206,521170825,1 hr 35 min,PG
Terminator 2: Judgment Day,1991,TriStar Pictures,102000000,31765506,205881154,312106698,520881154,2 hr 17 min,R
Ant-Man,2015,Walt Disney Studios Motion Pictures,130000000,57225526,180202163,339109802,519311965,1 hr 57 min,PG-13
Venom: Let There Be Carnage,2021,Sony Pictures Entertainment (SPE),September 30 2021 (Russia/CIS),90033210,213550366,293313226,506863592,1 hr 57 min,PG-13
Ghost,1990,Paramount Pictures,22000000,12191540,217631306,288072251,505703557,2 hr 7 min,NA
Aladdin,1992,Walt Disney Studios Motion Pictures,28000000,196664,217350219,286700000,504050219,1 hr 30 min,NA
Gladiator,2000,DreamWorks Distribution,103000000,34819017,187705427,315456886,503162313,2 hr 35 min,R
Rio 2,2014,Twentieth Century Fox,103000000,39327869,131538435,367242682,498781117,1 hr 41 min,G
Troy,2004,Warner Bros.,175000000,46865412,133378256,364031596,497409852,2 hr 43 min,R
Toy Story 2,1999,Walt Disney Studios Motion Pictures,90000000,300163,245852179,251523202,497375381,1 hr 32 min,NA
How to Train Your Dragon,2010,DreamWorks,165000000,43732319,217581231,277298240,494879471,1 hr 38 min,PG
Twister,1996,Warner Bros.,92000000,41059405,241830615,252750000,494580615,1 hr 53 min,NA
Oz the Great and Powerful,2013,Walt Disney Studios Motion Pictures,215000000,79110453,234911825,258400000,493311825,2 hr 10 min,PG
Clash of the Titans,2010,Warner Bros.,125000000,61235105,163214888,330000105,493214993,1 hr 46 min,PG-13
Maleficent: Mistress of Evil,2019,Walt Disney Studios Motion Pictures,185000000,36948713,113929605,377800484,491730089,1 hr 59 min,PG
War for the Planet of the Apes,2017,Twentieth Century Fox,150000000,56262929,146880162,343839601,490719763,2 hr 20 min,PG-13
Shrek,2001,DreamWorks Distribution,60000000,42347760,268163011,220278357,488441368,1 hr 30 min,PG
Mr. & Mrs. Smith,2005,Twentieth Century Fox,110000000,50342878,186336279,300951367,487287646,2 hr,PG-13
Elemental,2023,Walt Disney Studios Motion Pictures,June 14 2023 (APAC),29602429,154409516,332388472,486797988,2 hr,PG-13
Angels & Demons,2009,Sony Pictures Entertainment (SPE),150000000,46204168,133375846,352554970,485930816,2 hr 18 min,PG-13
Teenage Mutant Ninja Turtles,2014,Paramount Pictures,125000000,65575105,191204754,293800000,485004754,1 hr 41 min,PG-13
Bruce Almighty,2003,Universal Pictures,81000000,67953330,242829261,241763613,484592874,1 hr 41 min,PG-13
The King's Speech,2010,The Weinstein Company,15000000,355450,138797449,345271412,484068861,1 hr 58 min,R
Rio,2011,Twentieth Century Fox,90000000,39225962,143619809,340246963,483866772,1 hr 36 min,PG
Saving Private Ryan,1998,DreamWorks Distribution,70000000,30576104,217049603,265300000,482349603,2 hr 49 min,R
Rise of the Planet of the Apes,2011,Twentieth Century Fox,93000000,54806191,176760185,305040688,481800873,1 hr 45 min,PG-13
Puss in Boots: The Last Wish,2022,Universal Pictures,December 7 2022 (APAC EMEA),12429515,185535345,295510492,481045837,1 hr 45 min,PG-13
Home Alone,1990,Twentieth Century Fox,18000000,17081997,285761243,190923432,476684675,1 hr 43 min,NA
Jaws,1975,Universal Pictures,7000000,7061513,265859065,210653000,476512065,2 hr 4 min,NA
Ant-Man and the Wasp: Quantumania,2023,Walt Disney Studios Motion Pictures,February 15 2023 (EMEA APAC),106109650,214504909,261566271,476071180,2 hr 4 min,NA
Hotel Transylvania 2,2015,Sony Pictures Entertainment (SPE),80000000,48464322,169700110,305486596,475186706,1 hr 29 min,PG
Star Wars: Episode VI - Return of the Jedi,1983,Twentieth Century Fox,32500000,23019618,316566101,122009457,475106177,2 hr 11 min,PG
Charlie and the Chocolate Factory,2005,Warner Bros.,150000000,56178450,206459076,268509687,474968763,1 hr 55 min,PG
Indiana Jones and the Last Crusade,1989,Paramount Pictures,48000000,29355021,197171806,277000000,474171806,2 hr 7 min,PG-13
San Andreas,2015,Warner Bros.,110000000,54588173,155190832,318818322,474009154,1 hr 54 min,PG-13
It Chapter Two,2019,Warner Bros.,79000000,91062152,211622525,261500000,473122525,2 hr 49 min,R
La La Land,2016,Lionsgate,30000000,881104,151101803,320875533,471977336,2 hr 8 min,PG-13
Wreck-It Ralph,2012,Walt Disney Studios Motion Pictures,165000000,49038712,189422889,281800000,471222889,1 hr 41 min,PG
Godzilla vs. Kong,2021,Warner Bros.,March 24 2021 (APAC),31625971,100916094,369200000,470116094,1 hr 41 min,PG
The Hangover,2009,Warner Bros.,35000000,44979319,277339746,191988333,469328079,1 hr 40 min,R
Lucy,2014,Universal Pictures,40000000,43899340,126663600,342394974,469058574,1 hr 29 min,R
The Lego Movie,2014,Warner Bros.,60000000,69050279,257966122,210300000,468266122,1 hr 40 min,PG
Bumblebee,2018,Paramount Pictures,135000000,21654047,127195589,340794056,467989645,1 hr 54 min,PG-13
Star Trek Into Darkness,2013,Paramount Pictures,190000000,70165559,228778661,238586585,467365246,2 hr 12 min,PG-13
The Matrix,1999,Warner Bros.,63000000,27788331,172076928,295145800,467222728,2 hr 16 min,R
Pretty Woman,1990,Walt Disney Studios Motion Pictures,14000000,11280591,178406268,285000000,463406268,1 hr 59 min,R
Cars,2006,Walt Disney Studios Motion Pictures,120000000,60119509,244082982,217908885,461991867,1 hr 57 min,NA
The Eight Hundred,2020,CMC Pictures,August 21 2020 (China),118161,372755,461048804,461421559,1 hr 57 min,NA
X-Men: The Last Stand,2006,Twentieth Century Fox,210000000,102750665,234362462,226072829,460435291,1 hr 44 min,PG-13
Moon Man,2022,"September 1, 2022 (New Zealand)",210000000,2 hr 2 min,460237662,460237662,460435291,1 hr 44 min,PG-13
National Treasure: Book of Secrets,2007,Walt Disney Studios Motion Pictures,December 19 2007 (APAC),44783772,219964115,239278134,459242249,1 hr 44 min,PG-13
Mission: Impossible,1996,Paramount Pictures,80000000,45436830,180981856,276714535,457696391,1 hr 50 min,PG-13
300,2006,Warner Bros.,65000000,70885301,210629101,245453242,456082343,1 hr 57 min,R
The Last Samurai,2003,Warner Bros.,140000000,24271354,111127263,343500000,454627263,2 hr 34 min,R
Demon Slayer the Movie: Mugen Train,2020,FUNimation Entertainment,October 16 2020 (Japan),21234994,49505008,403705951,453210959,2 hr 34 min,R
Dying to Survive,2018,"July 5, 2018 (China)",October 16 2020 (Japan),1 hr 57 min,6752,451176639,451183391,2 hr 34 min,R
Ocean's Eleven,2001,Warner Bros.,85000000,38107822,183417150,267300000,450717150,1 hr 56 min,PG-13
"My People, My Country",2019,CMC Pictures,September 25 2019 (China),876001,2356683,447708310,450064993,1 hr 56 min,PG-13
Pokémon: Detective Pikachu,2019,Warner Bros.,150000000,54365242,144174568,305588070,449762638,1 hr 44 min,PG
